,Item Name,Comments,Price
28,"Rosewill RC-508 USB 3.0 PCI-E Express Card with 4 USB 3.0 Ports, Speed Up to 5.0 Gbps",,$23.99
29,NVIDIA TITAN RTX DirectX 12 900-1G150-2500-000 SB 24GB 384-Bit GDDR6 HDCP Ready Video Card,,"$2,499.99"
30,MSI GeForce RTX 2060 DirectX 12 RTX 2060 GAMING Z 6G 6GB 192-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,"Get Control + Wolfenstein: Youngblood w/ purchase, limited offer",$379.99
31,MSI Radeon RX 5700 XT DirectX 12 RX 5700 XT MECH OC 8GB 256-Bit GDDR6 PCI Express 4.0 HDCP Ready CrossFireX Support Video Card,"Get 3 months of Xbox Game Pass for PC w/ purchase, limited offer",$424.99
32,MSI GeForce RTX 2070 DirectX 12 RTX 2070 ARMOR 8G 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,"Get Control + Wolfenstein: Youngblood w/ purchase, limited offer",$479.99
33,MSI Radeon RX 580 DirectX 12 RX 580 ARMOR 8G OC 8GB 256-Bit GDDR5 PCI Express x16 HDCP Ready CrossFireX Support Video Card,"+ $25 off w/ promo code VGASAV38Q, limited offer",$204.99
34,MSI GeForce RTX 2080 DirectX 12 RTX 2080 VENTUS 8G OC 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready SLI Support Video Card,"Get Control + Wolfenstein: Youngblood w/ purchase, limited offer",$689.99
35,MSI GeForce GTX 1660 Ti DirectX 12 GTX 1660 TI GAMING X 6G 6GB 192-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,"+ $10 off w/ promo code VGASAV38W, limited offer",$309.99
36,MSI GeForce RTX 2070 DirectX 12 RTX 2070 GAMING 8G 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,"+ $20 off w/ promo code VGASAV38U, limited offer",$489.99
37,MSI GeForce RTX 2060 DirectX 12 RTX 2060 VENTUS XS 6G OC 6GB 192-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,"Get Control + Wolfenstein: Youngblood w/ purchase, limited offer",$349.99
38,MSI Radeon RX 570 DirectX 12 RX 570 ARMOR MK2 8G OC 8GB 256-Bit GDDR5 PCI Express x16 HDCP Ready CrossFireX Support Video Card,"+ $20 off w/ promo code VGASAV38P, limited offer",$184.99
39,MSI GeForce GTX 1660 DirectX 12 GTX 1660 GAMING X 6G 6GB 192-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready Video Card,,$249.99
40,MSI GeForce RTX 2080 Ti RTX 2080 TI SEA HAWK X 11GB 352-Bit GDDR6 PCI Express 3.0 Video Card,,"$1,349.99"
41,MSI GeForce RTX 2060 DirectX 12 RTX 2060 VENTUS 6G OC 6GB 192-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,"+ $10 off w/ promo code VGASAV38Y, limited offer",$359.99
42,MSI GeForce RTX 2070 DirectX 12 RTX 2070 GAMING Z 8G 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,"Get Control + Wolfenstein: Youngblood w/ purchase, limited offer",$509.99
43,MSI GeForce RTX 2080 DirectX 12 RTX 2080 GAMING TRIO 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready SLI Support Video Card,"Get Control + Wolfenstein: Youngblood w/ purchase, limited offer",$679.99
44,MSI GeForce GTX 1660 Ti DirectX 12 GTX 1660 TI VENTUS XS 6G OC 6GB 192-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,,$279.99
45,MSI Radeon RX 5700 XT DirectX 12 RX 5700 XT 8G 8GB 256-Bit GDDR6 PCI Express 4.0 HDCP Ready Video Card,"Get 3 months of Xbox Game Pass for PC with purchase, limited offer",$399.99
46,MSI GeForce GTX 1050 Ti DirectX 12 GTX 1050 Ti GAMING X 4G 4GB 128-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready ATX Video Card,,$179.99
47,MSI GeForce RTX 2060 SUPER DirectX 12 RTX 2060 SUPER VENTUS OC 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,"Get Control + Wolfenstein: Youngblood w/ purchase, limited offer",$409.99
48,MSI GeForce RTX 2080 DirectX 12 RTX 2080 SEA HAWK X 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready SLI Support Video Card,"Get Control + Wolfenstein: Youngblood w/ purchase, limited offer",$669.99
49,MSI Radeon RX 570 DirectX 12 RX 570 ARMOR 8G OC 8GB 256-Bit GDDR5 PCI Express x16 HDCP Ready CrossFireX Support ATX Video Card,"+ $20 off w/ promo code VGASAV38R, limited offer",$159.99
50,MSI GeForce RTX 2070 DirectX 12 RTX 2070 GAMING X 8G 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,"+ $20 off w/ promo code VGASAV38X, limited offer",$489.99
51,MSI GeForce RTX 2080 SUPER DirectX 12 RTX 2080 Super Ventus OC 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready SLI Support Video Card,"Get Control + Wolfenstein: Youngblood w/ purchase, limited offer",$719.99
52,MSI GeForce RTX 2060 DirectX 12 RTX 2060 GAMING 6G 6GB 192-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,"Get Control + Wolfenstein: Youngblood w/ purchase, limited offer",$369.99
53,MSI Radeon RX 5700 DirectX 12 RX 5700 MECH OC 8GB 256-Bit GDDR6 PCI Express 4.0 HDCP Ready CrossFireX Support Video Card,"Get 3 months of Xbox Game Pass for PC w/ purchase, limited offer",$374.99
54,MSI GeForce RTX 2070 DirectX 12 RTX 2070 DUKE 8G OC 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,,$539.99
55,MSI GeForce GTX 1050 Ti DirectX 12 GTX 1050 TI 4GT LP 4GB 128-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready Low Profile Video Card,,$179.99
56,MSI GeForce GTX 1660 Ti DirectX 12 GTX 1660 TI ARMOR 6G OC 6GB 192-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,,$289.99
57,MSI GeForce RTX 2060 SUPER DirectX 12 RTX 2060 SUPER GAMING X 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,"Get Control + Wolfenstein: Youngblood w/ purchase, limited offer",$429.99
58,MSI GeForce RTX 2080 DUKE 8G OC Video Card,,$809.00
59,MSI Radeon RX 580 DirectX 12 RX 580 ARMOR MK2 8G OC 8GB 256-Bit GDDR5 PCI Express x16 HDCP Ready CrossFireX Support Video Card,,$369.48
60,"GIGABYTE GeForce RTX 2080 Super WINDFORCE OC 8G Graphics Card, 3 x WINDFORCE Fans, 8GB 256-Bit GDDR6, GV-N208SWF3OC-8GD Video Card","Get Control + Wolfenstein: Youngblood w/ purchase, limited offer",$719.99
61,"GIGABYTE GeForce GTX 1660 Ti OC 6G Graphics Card, 2 x WINDFORCE Fans, 6GB 192-Bit GDDR6, GV-N166TOC-6GD Video Card",,$279.99
62,GIGABYTE AORUS RTX 2080 TI 11GB DirectX 12 GV-N208TAORUSX W-11GC Video Card,"Get Control + Wolfenstein: Youngblood w/ purchase, limited offer","$1,349.99"
63,"GIGABYTE AORUS GeForce RTX 2080 XTREME 8G Graphics Card, 3 x Stacked WINDFORCE Fans, 8GB 256-Bit GDDR6, GV-N2080AORUS X-8GC Video Card","Get Control + Wolfenstein: Youngblood w/ purchase, limited offer",$689.99
64,MSI GeForce RTX 2070 DirectX 12 RTX 2070 ARMOR 8G OCV1 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,"Get Control + Wolfenstein: Youngblood w/ purchase, limited offer",$519.99
65,GIGABYTE RTX 2080 TI 11GB GDDR6 GV-N208TWF3-11GC PCI Express 3.0 x16 Video Card,"Get Control + Wolfenstein: Youngblood w/ purchase, limited offer","$1,049.99"
66,GIGABYTE Radeon RX 570 DirectX 12 GV-RX570GAMING-4GD 4GB 256-Bit GDDR5 PCI Express 3.0 x16 CrossFireX Support ATX Video Card,"Get 3 months of Xbox Game Pass for PC with purchase, limited offer",$139.99
67,"GIGABYTE Radeon RX 590 Gaming 8G Graphics Card, 2 x WINDFORCE Fans, 8GB 256-Bit GDDR5, GV-RX590GAMING-8GD Video Card","Get 3 months of Xbox Game Pass for PC with purchase, limited offer",$199.99
68,"GIGABYTE Geforce RTX 2060 OC GG Graphics Card, 2 x WINDFORCE Fans, 6GB 192-Bit GDDR6, GV-N2060OC-6GD  Video Card","Get Control + Wolfenstein: Youngblood w/ purchase, limited offer",$329.99
69,"GIGABYTE GeForce GTX 1660 Ti WINDFORCE OC 6G Graphics Card, 2 x WINDFORCE Fans, 6GB 192-Bit GDDR6, GV-N166TWF2OC-6GD Video Card",,$279.99
70,"GIGABYTE AORUS GeForce RTX 2060 Super 8G Graphics Card, WINDFORCE Stack, 8GB 256-Bit GDDR6, GV-N206SAORUS-8GC Video Card","Get Control + Wolfenstein: Youngblood w/ purchase, limited offer",$449.99
71,"GIGABYTE AORUS GeForce GTX 1660 Ti 6G Graphics Card, 3 x WINDFORCE Fans, 6GB 192-Bit GDDR6, GV-N166TAORUS-6GD Video Card",,$309.99
72,"GIGABYTE GeForce GTX 1660 GAMING OC 6G Graphics Card, 3 x WINDFORCE Fans, 6GB 192-Bit GDDR5, GV-N1660GAMING OC-6GD Video Card",,$239.99
73,"GIGABYTE GeForce GTX 1660 OC 6G Graphics Card, 2 x WINDFORCE Fans, 6GB 192-Bit GDDR5, GV-N1660OC-6GD Video Card",,$229.99
74,GIGABYTE AORUS GeForce RTX 2080 Ti DirectX 12 GV-N208TAORUS-11GC 11GB 352-Bit GDDR6 PCI Express 3.0 x16 SLI Support ATX Video Card,"Get Control + Wolfenstein: Youngblood w/ purchase, limited offer","$1,279.99"
75,GIGABYTE AORUS GeForce RTX 2080 SUPER DirectX 12 GV-N208SAORUS WB-8GC 8GB 256-Bit GDDR6 PCI Express 3.0 x16 SLI Support ATX Video Card,"Get Control + Wolfenstein: Youngblood w/ purchase, limited offer",$839.99
76,"GIGABYTE GeForce RTX 2060 GAMING OC PRO 6G Graphics Card, 3 x WINDFORCE Fans, 6GB 192-Bit GDDR6, GV-N2060GAMINGOC PRO-6GD Video Card","Get Control + Wolfenstein: Youngblood w/ purchase, limited offer",$369.99
77,"EVGA GeForce RTX 2080 SUPER XC GAMING Video Card, 08G-P4-3182-KR, 8GB GDDR6, RGB LED, Metal Backplate",,$814.99
78,ASUS GeForce RTX 2080 SUPER Overclocked 8G GDDR6 Dual-Fan EVO Edition VR Ready HDMI DisplayPort 1.4 Graphics Card (DUAL-RTX2080S-O8G-EVO),"Get Control + Wolfenstein: Youngblood w/ purchase, limited offer",$729.99
79,ASUS ROG STRIX GeForce RTX 2060 DirectX 12 ROG-STRIX-RTX2060-O6G-GAMING 6GB 192-Bit GDDR6 PCI Express 3.0 HDCP Ready Video Card,"Get Control + Wolfenstein: Youngblood w/ purchase, limited offer",$419.99
80,"EVGA GeForce RTX 2080 SUPER XC ULTRA GAMING Video Card, 08G-P4-3183-KR, 8GB GDDR6, RGB LED, Metal Backplate",,$784.94
81,"EVGA GeForce RTX 2060 SC Ultra GAMING, 06G-P4-2067-KR, 6GB GDDR6, Dual HDB Fans","Get Control + Wolfenstein: Youngblood w/ purchase, limited offer",$349.99
82,"EVGA GeForce RTX 2080 Ti K|NGP|N GAMING, 11G-P4-2589-KR, 11GB GDDR6, iCX2 Technology, OLED Display, Metal Backplate",,"$1,914.99"
83,"EVGA GeForce RTX 2080 TI FTW3 ULTRA HYBRID GAMING, 11G-P4-2484-KR, 11GB GDDR6, RGB LED & iCX2 Technology - 9 Thermal Sensors","Get Control + Wolfenstein: Youngblood w/ purchase, limited offer","$1,499.99"
84,ASUS ROG Strix GeForce GTX 1660 Ti ROG-STRIX-GTX1660TI-O6G-GAMING 6GB 192-Bit GDDR6 PCI Express 3.0 HDCP Ready Video Card,,$329.99
85,"EVGA GeForce RTX 2080 Ti DirectX 12 11G-P4-2384-KR 11GB 352-Bit GDDR6 PCI Express 3.0 HDCP Ready XC HYBRID GAMING, 11GB GDDR6, HYBRID & RGB LED","Get Control + Wolfenstein: Youngblood w/ purchase, limited offer","$1,399.99"
86,ASUS GeForce GTX 1060 3GB Phoenix Fan Edition VR Ready HDMI DP DVI Graphics Card (PH-GTX1060-3G),"+ $40 off w/ promo code VGASAV38T, limited offer",$224.99
87,"EVGA GeForce GTX 1660 SC ULTRA GAMING, 06G-P4-1067-KR, 6GB GDDR5, Dual Fan, Metal Backplate",,$239.99
88,"EVGA GeForce RTX 2060 SUPER XC GAMING, 08G-P4-3162-KR, 8GB GDDR6, Dual HDB Fans, RGB LED, Metal Backplate","Get Control + Wolfenstein: Youngblood w/ purchase, limited offer",$439.99
89,"EVGA GeForce GTX 1660 XC Black GAMING, 06G-P4-1161-KR, 6GB GDDR5, HDB Fan","Get GRIP Game + Exclusive vehicle skin w/ registration, limited offer",$229.99
90,"EVGA GeForce RTX 2080 SUPER FTW3 HYDRO COPPER GAMING Video Card, 08G-P4-3289-KR, 8GB GDDR6, RGB LED, iCX2 Technology, Metal Backplate","Get Control + Wolfenstein: Youngblood w/ purchase, limited offer",$879.99
91,"EVGA GeForce GTX 1660 Ti SC ULTRA GAMING, 06G-P4-1667-KR, 6GB GDDR6, Dual Fan, Metal Backplate","Get GRIP Game + Exclusive vehicle skin w/ registration, limited offer",$299.99
92,ASUS ROG STRIX GeForce RTX 2060 SUPER ROG-STRIX-RTX2060S-O8G-GAMING 8GB 256-Bit GDDR6 PCI Express 3.0 HDCP Ready Video Card,"Get Control + Wolfenstein: Youngblood w/ purchase, limited offer",$469.99
93,"EVGA GeForce RTX 2080 Ti XC ULTRA GAMING, 11G-P4-2383-KR, 11GB GDDR6, Dual HDB Fans & RGB LED","Get Control + Wolfenstein: Youngblood w/ purchase, limited offer","$1,179.99"
94,RIITOP NVMe PCIe Adapter PCI-e 3.0 x4 to M Key M.2 NVMe AHCI SSD Converter Card for 2280 2260 2242 2230 mm SSD Drive,"Limited time offer, ends 09/19",$12.95
95,ASUS GeForce GTX 1650 Overclocked 4GB Dual-fan Edition HDMI DP 1.4 DVI Graphics Card (DUAL-GTX1650-O4G),,$164.99
96,MSI GeForce GT 730 DirectX 12 N730-2GD3V3 2GB 128-Bit DDR3 PCI Express 2.0 x16 HDCP Ready ATX Video Card,,$67.99
97,"ZOTAC GAMING GeForce RTX 2070 SUPER Twin Fan 8GB GDDR6 256-bit 14 Gbps Gaming Graphics Card, IceStorm 2.0, Spectra Lighting, ZT-T20710F-10P",,$499.99
98,ASUS ROG STRIX AMD Radeon RX 5700 Overclocked 8G GDDR6 HDMI DisplayPort Gaming Graphics Card (ROG-STRIX-RX5700-O8G-GAMING),"Get 3 months of Xbox Game Pass for PC w/ purchase, limited offer",$399.99
99,"EVGA GeForce RTX 2070 SUPER BLACK GAMING, 08G-P4-3071-KR, 8GB GDDR6","Get Control + Wolfenstein: Youngblood w/ purchase, limited offer",$519.99
100,ASUS TUF Gaming GeForce GTX 1660 Ti DirectX 12 TUF-GTX1660TI-O6G-GAMING 6GB 192-Bit GDDR6 PCI Express 3.0 HDCP Ready Video Card,,$299.99
101,MSI Radeon RX 5700 XT DirectX 12 RX 5700 XT EVOKE OC 8GB 256-Bit GDDR6 PCI Express 4.0 HDCP Ready CrossFireX Support Video Card,"Get 3 months of Xbox Game Pass for PC w/ purchase, limited offer",$429.99
102,"GIGABYTE GeForce RTX 2070 Super WINDFORCE OC 3X 8G Graphics Card, 3 x WINDFORCE Fans, 8GB 256-Bit GDDR6, GV-N207SWF3OC-8GD Video Card",,$589.00
103,"EVGA GeForce RTX 2070 SUPER XC GAMING, 08G-P4-3172-KR, 8GB GDDR6, Dual HDB Fans, RGB LED, Metal Backplate",,$629.00
104,"EVGA GeForce RTX 2070 SUPER XC ULTRA GAMING, 08G-P4-3173-KR, 8GB GDDR6, Dual HDB Fans, RGB LED, Metal Backplate",,$621.80
105,ASUS ROG STRIX GeForce RTX 2080 SUPER Advanced Overclocked 8G GDDR6 HDMI DP 1.4 USB Type-C Gaming Graphics Card (ROG-STRIX-RTX2080S-A8G-GAMING),"Get Control + Wolfenstein: Youngblood w/ purchase, limited offer",$789.99
106,"GIGABYTE GeForce RTX 2060 Super GAMING OC 8G Graphics Card, 3 x WINDFORCE Fans, 8GB 256-Bit GDDR6, GV-N206SGAMING OC-8GC Video Card","Get Control + Wolfenstein: Youngblood w/ purchase, limited offer",$419.99
107,ASUS ROG STRIX GeForce RTX 2070 SUPER Advanced Overclocked 8G GDDR6 HDMI DisplayPort USB Type-C Gaming Graphics Card (ROG-STRIX-RTX2070S-A8G-GAMING),OUT OF STOCK,$584.99
108,"EVGA GeForce RTX 2080 SUPER GAMING Video Card, 08G-P4-3080-KR, 8GB GDDR6, Adjustable RGB LED",,$794.00
109,MSI Radeon RX 570 DirectX 12 RX 570 ARMOR 4G OCV1 4GB 256-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready CrossFireX Support ATX Video Card,"Get 3 months of Xbox Game Pass for PC with purchase, limited offer",$149.99
110,ASRock Radeon RX 5700 DirectX 12 RX 5700 CHALLENGER D 8G OC 8GB 256-Bit GDDR6 PCI Express 4.0 HDCP Ready Video Card,"Get 3 months of Xbox Game Pass for PC with purchase, limited offer",$359.99
111,MSI GeForce RTX 2060 SUPER DirectX 12 RTX 2060 SUPER ARMOR OC 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,"Get Control + Wolfenstein: Youngblood w/ purchase, limited offer",$419.99
112,MSI GeForce RTX 2080 Ti DirectX 12 RTX 2080 Ti GAMING TRIO 11GB 352-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready SLI Support Video Card,"+ $20 off w/ promo code VGASAV39A, limited offer","$1,189.99"
113,ASUS Turbo GeForce RTX 2060 SUPER TURBO-RTX2060S-8G-EVO 8GB 256-Bit GDDR6 PCI Express 3.0 HDCP Ready Video Card,,$429.99
114,"GIGABYTE GeForce GTX 1660 Ti GAMING OC 6G Graphics Card, 3 x WINDFORCE Fans, 6GB 192-Bit GDDR6, GV-N166TGAMING OC-6GD Video Card",,$289.99
115,"GIGABYTE Radeon RX 5700 XT 8G Graphics Card, PCIe 4.0, 8GB 256-Bit GDDR6, GV-R57XT-8GD-B Video Card","Get 3 months of Xbox Game Pass for PC with purchase, limited offer",$399.99
116,GIGABYTE GeForce RTX 2070 DirectX 12 GV-N2070WF2-8GD 8GB 256-Bit GDDR6 PCI Express 3.0 x16 ATX Video Card,,$479.99
117,"GIGABYTE GeForce GTX 1660 Ti MINI ITX OC 6G Graphics Card, Mini ITX Form Factor, 6GB 192-Bit GDDR6, GV-N166TIXOC-6GD Video Card",,$279.99
118,ASUS Dual GeForce RTX 2080 DirectX 12 DUAL-RTX2080-O8G-EVO 8GB 256-Bit GDDR6 PCI Express 3.0 HDCP Ready SLI Support Video Card,"Get Control + Wolfenstein: Youngblood w/ purchase, limited offer",$649.99
119,"GIGABYTE AORUS GeForce RTX 2080 XTREME WATERFORCE WB 8G Graphics Card, Pre-Installed Waterblock, 8GB 256-Bit GDDR6, GV-N2080AORUSX WB-8GC Video Card","Get Control + Wolfenstein: Youngblood w/ purchase, limited offer",$779.99
120,"GIGABYTE GeForce GTX 1650 WINDFORCE OC 4G Graphics Card, 2 x WINDFORCE Fans, 4GB 128-Bit GDDR5, GV-N1650WF2OC-4GD Video Card",,$165.00
121,"GIGABYTE AORUS GeForce RTX 2060 XTREME 6G Graphics Card, 3 x Stacked WINDFORCE Fans, 6GB 192-Bit GDDR6, GV-N2060AORUS X-6GC REV2.0 Video Card","Get Control + Wolfenstein: Youngblood w/ purchase, limited offer",$399.99
122,ASRock Radeon RX 5700 DirectX 12 RX 5700 8G 8GB 256-Bit GDDR6 PCI Express 4.0 x16 HDCP Ready Video Card,"Get 3 months of Xbox Game Pass for PC w/ purchase, limited offer",$349.99
123,XFX Radeon RX 5700 DirectX 12 RX-57XL8MFG6 8GB 256-Bit GDDR6 PCI Express 4.0 CrossFireX Support Video Card,"Get 3 months of Xbox Game Pass for PC with purchase, limited offer",$349.99
124,"EVGA GeForce RTX 2060 XC ULTRA GAMING, 6GB GDDR6, Dual HDB Fans Graphics Card 06G-P4-2167-KR","Get Control + Wolfenstein: Youngblood w/ purchase, limited offer",$399.99
125,GIGABYTE GeForce RTX 2060 DirectX 12 GV-N2060WF2OC-6GD R2 6GB 192-Bit GDDR6 PCI Express 3.0 x16 ATX Video Card,"Get Control + Wolfenstein: Youngblood w/ purchase, limited offer",$339.99
126,StarTech PEXUSB312C2 StarTech.com Dual Port USB-C Card – 2x USB-C – USB 3.1 PCI–e Card with SATA – USB 3.1 Expansion Card – PCI Express USB C Card,,$42.66
127,MSI GeForce GTX 1650 DirectX 12 GTX 1650 VENTUS XS 4G OC 4GB 128-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready Video Card,,$159.99
128,"EVGA GeForce RTX 2060 XC BLACK GAMING, 6GB GDDR6, HDB Fan Graphics Card 06G-P4-2061-KR","Get Control + Wolfenstein: Youngblood w/ purchase, limited offer",$329.99
